IMU_No   AccX,AccY,AccZ,GyroX,GyroY,GyroZ
IMU 1   3516,21032,-11504,1190,-205,-121
IMU 2   -19564,3956,-1528,1467,-666,496
IMU 3   -26528,-5588,884,2117,-3003,-4137
IMU 1   6240,23964,-8668,-542,342,411
IMU 2   -19696,-1948,3764,3186,-1306,3079
        -10396,-9852,-4616,1931,-1296,-
IMU 3   3584
IMU 1   820,11608,-644,117,-213,422
IMU 2   -15092,1932,1688,-294,-15,3873
IMU 3   -6116,-1864,-2496,-3262,2381,4532
IMU 1   5580,22404,-10584,829,52,817
IMU 2   -11300,128,1676,-79,824,2012
IMU 3   -17036,-7992,-1032,-1609,4290,6586
IMU 1   2484,21664,-1164,193,-294,272
IMU 2   -12616,3092,-220,-782,106,-1226
IMU 3   -26496,-13332,2460,1312,5463,6019
IMU 1   -864,15576,-11384,34,238,-38
IMU 2   -11140,16744,6232,-491,857,554
        -16268,-13804,17876,-2035,-1924,-
IMU 3   2287
IMU 1   -924,14372,-3156,406,-579,124
IMU 2   -12040,-3328,-6592,-2011,1123,1656
IMU 3   -18872,-6584,-84,-3054,-2793,-3488
IMU 1   1132,17584,-14200,-164,-155,-104
IMU 2   -14708,-1424,-640,-1738,82,-1657
IMU 3   -15100,-5496,-2640,-342,-846,-1475
IMU 1   8004,19540,-2468,206,-239,399
IMU 2   -14652,2692,-152,-876,-33,-2181
IMU 3   -15108,-5976,-1160,986,-385,-670
IMU 1   -740,8500,-12272,-7,265,123
IMU 2   -15004,120,-212,-1086,451,-1941
IMU 3   -16284,-5328,-704,576,-787,-788
IMU 1   2516,22780,-3592,-1121,-77,365
IMU 2   -16032,-232,-832,-234,234,-1671
IMU 3   -17216,-5568,1880,810,-1485,-1570
IMU 1   3564,6916,-9980,-389,149,-31
IMU 2   -19040,-904,336,1105,-437,-415
IMU 3   -21720,-7060,2328,1253,-2737,-3388
IMU 1   2468,13816,-4444,-370,-192,83
IMU 2   -14380,-3988,1368,1431,-1982,3107
        -16016,-13532,4588,1398,-3336,-
IMU 3   5321
IMU 1   288,10272,-6220,174,-495,461
IMU 2   -18244,-532,1472,1459,-241,3499
IMU 3   -5532,9304,1176,148,354,2300
IMU 1   4100,15724,-5688,-226,-11,-151
IMU 2   -15084,624,920,-722,482,3757
IMU 3   -13640,-4464,-2488,-2408,3371,6959
IMU 1   8388,19060,-572,754,-135,916
IMU 2   -10996,1112,3544,-208,-35,243
IMU 3   -23716,-10908,-2356,-896,5777,7441
IMU 1   676,7572,-13252,378,120,86
IMU 2   -16700,14268,-1272,522,1156,-1175
IMU 3   -20568,-19368,16908,768,3198,3194
IMU 1   7160,12436,-7236,645,-376,547
IMU 2   -15920,4928,808,209,496,-1056
IMU 3   -24752,4664,8756,-40,-1811,-3131
IMU 1   4696,13180,-10416,-226,-186,492
IMU 2   -16704,44,-1628,891,590,-2332
IMU 3   -14336,-7812,-1928,949,-1889,-2370
IMU 1   3168,10444,-9116,136,-54,-217
IMU 2   -15744,-1120,408,-351,193,-2300
IMU 3   -14896,-5444,-992,1391,-613,-995
IMU 1   5348,21752,-7708,-855,172,109
IMU 2   -14968,928,-268,-1191,277,-2350
IMU 3   -15612,-4848,-540,466,-113,-419
IMU 1   2256,17336,-4280,191,-825,442
IMU 2   -15352,1860,-676,-821,286,-2138
IMU 3   -16364,-5444,-764,480,-667,-1095
IMU 1   1108,13532,-6364,359,-946,172
IMU 2   -17804,144,20,291,202,-1711
IMU 3   -19748,-6224,748,1249,-1844,-2152
IMU 1   1740,6828,-3128,374,-560,416
IMU 2   -19604,1972,-1160,2148,-688,-102
IMU 3   -24188,-6884,-204,2544,-2972,-3910
IMU 1   2552,18240,-2424,309,-870,-56
IMU 2   -18228,-2484,3064,1729,-1173,3244
        -14592,-14496,-2780,1394,-2680,-
IMU 3   4458
IMU 1   7216,17760,-7232,-514,-371,460
IMU 2   -16684,588,2184,1150,-177,3557
IMU 3   -7644,2996,-1356,-2007,1737,3779
IMU 1   4468,15980,-5684,-3,-604,395
IMU 2   -12436,-448,1124,-125,541,2454
IMU 3   -14096,-6400,-2660,-2093,4891,7536
IMU 1   12,12316,-7664,-578,-245,-320
IMU 2   -11980,2916,1700,-1454,122,-1186
IMU 3   -26716,-17232,1560,2231,6046,6969
IMU 1   4576,19308,-4896,-616,-460,26
IMU 2   -12840,16136,3516,280,1424,876
        -14492,-17800,18408,-1869,-2205,-
IMU 3   3147
IMU 1   2640,-2788,-8348,-740,-333,-668
IMU 2   -11272,7360,-1736,-3092,393,2580
        -16216,-4980,-4756,-3294,-2056,-
IMU 3   3567
IMU 1   1836,16856,-13744,-242,-352,226
IMU 2   -14592,392,508,-1770,58,-1448
IMU 3   -14828,-5532,-1428,-525,-1048,-1707
IMU 1   3388,21428,-4068,-156,-232,375
IMU 2   -15152,1664,-560,-67,62,-2589
IMU 3   -15064,-6776,-1836,1211,-231,-786
IMU 1   1428,13856,-9000,-536,-39,-217
IMU 2   -15140,324,-260,-1680,470,-1967
IMU 3   -16020,-5220,20,620,-320,-664
IMU 1   3444,5952,-5580,-595,295,-93
IMU 2   -16204,1316,-808,-289,401,-1586
IMU 3   -17268,-6196,1208,851,-1457,-1513
IMU 1   -88,10320,-13208,-861,86,-515
IMU 2   -18500,264,-32,854,-416,-198
IMU 3   -21532,-8032,1876,1215,-2960,-3444
IMU 1   3704,19720,-7444,-184,-390,354
IMU 2   -15192,-2496,708,1896,-1557,3019
        -16316,-13560,3836,1214,-3682,-
IMU 3   5253
IMU 1   4040,11832,-8520,-5,102,203
IMU 2   -17380,-1420,1672,1201,-270,3526
IMU 3   -5692,9960,456,394,333,2149
IMU 1   7076,18060,-5344,126,-333,178
IMU 2   -14100,1400,992,-967,286,3667
IMU 3   -12136,-5656,-3088,-2409,3654,6940
IMU 1   956,7728,-9024,-1354,86,-151
IMU 2   -11392,1240,3236,-407,383,524
        -22752,-11748,-2232,-
IMU 3   1465,5282,6702
IMU 1   2436,16936,-7408,-58,-248,169
IMU 2   -15624,14068,-1416,-341,1327,-1492
        -21048,-
IMU 3   15824,11864,1504,4231,3680
IMU 1   6772,16444,-8432,394,386,440
IMU 2   -18444,3836,-280,266,385,-243
IMU 3   -23536,13608,-1148,525,-1191,-1493
IMU 1   1052,7436,-5872,-399,112,-332
IMU 2   -16620,-8364,948,1922,293,-2637
        -12752,-10160,-4516,889,-1763,-
IMU 3   2538
IMU 1   2188,12908,-9592,-123,321,-221
IMU 2   -15108,-748,-1020,-1381,113,-1868
IMU 3   -15304,-4404,-2252,1008,-795,-996
IMU 1   1188,15440,-4404,-673,170,-354
IMU 2   -15144,1968,-664,-1040,208,-2215
IMU 3   -15564,-3884,12,380,-368,-811
IMU 1   344,16812,-2308,19,-136,271
IMU 2   -14844,1148,-304,-631,365,-1961
IMU 3   -15984,-4640,-1300,419,-867,-1127
IMU 1   5128,17496,-5460,-137,-42,383
IMU 2   -17392,-2452,-160,-478,249,-1858
IMU 3   -18212,-7344,148,896,-1341,-1918
IMU 1   4604,20140,-1664,-208,-183,-183
